wkt;id;lineasub
MULTILINESTRING ((-58.4521256031295 -34.566215242404,-58.4446681474258 -34.5700123091016));1;D
MULTILINESTRING ((-58.4564891346516 -34.562309088005,-58.4521256031295 -34.566215242404));2;D
MULTILINESTRING ((-58.4446681474258 -34.5700123091016,-58.4350135329444 -34.5751783653176));3;D
MULTILINESTRING ((-58.4350135329444 -34.5751783653176,-58.4257114410852 -34.5784220229043));4;D
MULTILINESTRING ((-58.4257114410852 -34.5784220229043,-58.4211960117166 -34.5814111944924));5;D
MULTILINESTRING ((-58.4211960117166 -34.5814111944924,-58.4159554193518 -34.5851559440763));6;D
MULTILINESTRING ((-58.4159554193518 -34.5851559440763,-58.4112939023419 -34.588237109769));7;D
MULTILINESTRING ((-58.4112939023419 -34.588237109769,-58.4071613212557 -34.5916278450705));8;D
MULTILINESTRING ((-58.4071613212557 -34.5916278450705,-58.402395343648 -34.59442571848));9;D
MULTILINESTRING ((-58.3979237565356 -34.5997570806249,-58.39312518234 -34.599639553207));10;D
MULTILINESTRING ((-58.3851423596596 -34.6015871649049,-58.3805743445213 -34.6042452037712));11;D
MULTILINESTRING ((-58.3805743445213 -34.6042452037712,-58.373955806103 -34.6078023367265));12;D --> TERMINAL >
MULTILINESTRING ((-58.3814344337621 -34.6276194522058,-58.3799211800979 -34.6219167333603));13;C --> TERMINAL <
MULTILINESTRING ((-58.3778190525875 -34.5950574057746,-58.374018216823 -34.5911938093721));14;C --> TERMINAL >
MULTILINESTRING ((-58.3781557831942 -34.601769923798,-58.3778190525875 -34.5950574057746));15;C
MULTILINESTRING ((-58.3795299795777 -34.6048437404279,-58.3781557831942 -34.601769923798));16;C
MULTILINESTRING ((-58.3799211800979 -34.6219167333603,-58.3801736103442 -34.6181255988278));17;C
MULTILINESTRING ((-58.3801736103442 -34.6181255988278,-58.38044447085 -34.612617280313));18;C
MULTILINESTRING ((-58.3742677265724 -34.6085590738884,-58.3790851527921 -34.6088817222435));19;A
MULTILINESTRING ((-58.3790851527921 -34.6088817222435,-58.3822324012181 -34.6090998072553));20;A
MULTILINESTRING ((-58.3822324012181 -34.6090998072553,-58.3867771943587 -34.6094125867903));21;A
MULTILINESTRING ((-58.401207533951 -34.6098335787885,-58.4067071171961 -34.6098172463933));22;A
MULTILINESTRING ((-58.392668824339 -34.6092256841813,-58.3984269926834 -34.6096459625334));23;A
MULTILINESTRING ((-58.3984269926834 -34.6096459625334,-58.401207533951 -34.6098335787885));24;A
MULTILINESTRING ((-58.4067071171961 -34.6098172463933,-58.4151857086427 -34.6107816902173));25;A
MULTILINESTRING ((-58.3867771943587 -34.6094125867903,-58.392668824339 -34.6092256841813));26;A
MULTILINESTRING ((-58.3736842240469 -34.6092424297606,-58.3775808866363 -34.6128491070751));27;E --> TERMINAL <
MULTILINESTRING ((-58.3775808866363 -34.6128491070751,-58.3815349422618 -34.6179373943169));28;E
MULTILINESTRING ((-58.385148550285 -34.6223394920484,-58.3915117004694 -34.6227196674666));29;E
MULTILINESTRING ((-58.3915117004694 -34.6227196674666,-58.3970680759498 -34.6231098658106));30;E
MULTILINESTRING ((-58.3970680759498 -34.6231098658106,-58.4029365807092 -34.6238657122988));31;E
MULTILINESTRING ((-58.4029365807092 -34.6238657122988,-58.4093907837292 -34.6246537866685));32;E
